Step,commformer_2c_vs_64zg_single_lf_seed1 - incre_win_rate,commformer_2c_vs_64zg_single_lf_seed1 - incre_win_rate__MIN,commformer_2c_vs_64zg_single_lf_seed1 - incre_win_rate__MAX,commformer_2c_vs_64zg_single_lf_seed2 - incre_win_rate,commformer_2c_vs_64zg_single_lf_seed2 - incre_win_rate__MIN,commformer_2c_vs_64zg_single_lf_seed2 - incre_win_rate__MAX,happo_2c_vs_64zg_10v10_seed1 - incre_win_rate,happo_2c_vs_64zg_10v10_seed1 - incre_win_rate__MIN,happo_2c_vs_64zg_10v10_seed1 - incre_win_rate__MAX,happo_2c_vs_64zg_10v10_seed2 - incre_win_rate,happo_2c_vs_64zg_10v10_seed2 - incre_win_rate__MIN,happo_2c_vs_64zg_10v10_seed2 - incre_win_rate__MAX,happo_2c_vs_64zg_10v10_seed3 - incre_win_rate,happo_2c_vs_64zg_10v10_seed3 - incre_win_rate__MIN,happo_2c_vs_64zg_10v10_seed3 - incre_win_rate__MAX,mappo_2c_vs_64zg_10v10_seed1 - incre_win_rate,mappo_2c_vs_64zg_10v10_seed1 - incre_win_rate__MIN,mappo_2c_vs_64zg_10v10_seed1 - incre_win_rate__MAX,mappo_2c_vs_64zg_10v10_seed2 - incre_win_rate,mappo_2c_vs_64zg_10v10_seed2 - incre_win_rate__MIN,mappo_2c_vs_64zg_10v10_seed2 - incre_win_rate__MAX,mappo_2c_vs_64zg_10v10_seed3 - incre_win_rate,mappo_2c_vs_64zg_10v10_seed3 - incre_win_rate__MIN,mappo_2c_vs_64zg_10v10_seed3 - incre_win_rate__MAX
3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002320186,0.002320186,0.002320186
115200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131200,0.002314815,0.002314815,0.002314815,0.002314815,0.002314815,0.002314815,0,0,0,0,0,0,0.002309469,0.002309469,0.002309469,0,0,0,0,0,0,0,0,0
147200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163200,0.002358491,0.002358491,0.002358491,0.002358491,0.002358491,0.002358491,0,0,0,0.005319149,0.005319149,0.005319149,0.002380952,0.002380952,0.002380952,0,0,0,0,0,0,0,0,0
179200,0,0,0,0,0,0,0,0,0,0.005167959,0.005167959,0.005167959,0.002493766,0.002493766,0.002493766,0,0,0,0,0,0,0,0,0
195200,0,0,0,0,0,0,0.002857143,0.002857143,0.002857143,0.005154639,0.005154639,0.005154639,0,0,0,0,0,0,0,0,0,0,0,0
211200,0.005037783,0.005037783,0.005037783,0.005037783,0.005037783,0.005037783,0,0,0,0.013297872,0.013297872,0.013297872,0,0,0,0,0,0,0,0,0,0.005141388,0.005141388,0.005141388
227200,0.004819277,0.004819277,0.004819277,0.004819277,0.004819277,0.004819277,0,0,0,0.005235602,0.005235602,0.005235602,0.004938272,0.004938272,0.004938272,0.005221932,0.005221932,0.005221932,0,0,0,0,0,0
243200,0.002463054,0.002463054,0.002463054,0.002463054,0.002463054,0.002463054,0.006968641,0.006968641,0.006968641,0.00273224,0.00273224,0.00273224,0.005050505,0.005050505,0.005050505,0.005449591,0.005449591,0.005449591,0.004807692,0.004807692,0.004807692,0.005012531,0.005012531,0.005012531
259200,0.009708738,0.009708738,0.009708738,0.009708738,0.009708738,0.009708738,0.007117438,0.007117438,0.007117438,0.013812155,0.013812155,0.013812155,0.007594937,0.007594937,0.007594937,0.014619883,0.014619883,0.014619883,0.007556675,0.007556675,0.007556675,0.002590674,0.002590674,0.002590674
275200,0.00255102,0.00255102,0.00255102,0.00255102,0.00255102,0.00255102,0.003311258,0.003311258,0.003311258,0.013550136,0.013550136,0.013550136,0.007792208,0.007792208,0.007792208,0.01510574,0.01510574,0.01510574,0.004854369,0.004854369,0.004854369,0.005235602,0.005235602,0.005235602
291200,0.010416667,0.010416667,0.010416667,0.010416667,0.010416667,0.010416667,0.006389776,0.006389776,0.006389776,0.008928571,0.008928571,0.008928571,0.010723861,0.010723861,0.010723861,0.035483871,0.035483871,0.035483871,0.002538071,0.002538071,0.002538071,0.010666667,0.010666667,0.010666667
307200,0.014044944,0.014044944,0.014044944,0.014044944,0.014044944,0.014044944,0.003355705,0.003355705,0.003355705,0.014925373,0.014925373,0.014925373,0.015789474,0.015789474,0.015789474,0.030100334,0.030100334,0.030100334,0.007832898,0.007832898,0.007832898,0.00795756,0.00795756,0.00795756
323200,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.003424658,0.003424658,0.003424658,0.017857143,0.017857143,0.017857143,0.026086957,0.026086957,0.026086957,0.030927835,0.030927835,0.030927835,0.005249344,0.005249344,0.005249344,0.002673797,0.002673797,0.002673797
339200,0.014044944,0.014044944,0.014044944,0.014044944,0.014044944,0.014044944,0.010714286,0.010714286,0.010714286,0.019169329,0.019169329,0.019169329,0.034090909,0.034090909,0.034090909,0.128630705,0.128630705,0.128630705,0.005089059,0.005089059,0.005089059,0.005434783,0.005434783,0.005434783
355200,0.019125683,0.019125683,0.019125683,0.019125683,0.019125683,0.019125683,0.017921147,0.017921147,0.017921147,0.056537102,0.056537102,0.056537102,0.025236593,0.025236593,0.025236593,0.113122172,0.113122172,0.113122172,0.016042781,0.016042781,0.016042781,0,0,0
371200,0.005633803,0.005633803,0.005633803,0.005633803,0.005633803,0.005633803,0.027491409,0.027491409,0.027491409,0.046511628,0.046511628,0.046511628,0.034682081,0.034682081,0.034682081,0.112068966,0.112068966,0.112068966,0.011142061,0.011142061,0.011142061,0.010958904,0.010958904,0.010958904
387200,0.014792899,0.014792899,0.014792899,0.014792899,0.014792899,0.014792899,0.008298755,0.008298755,0.008298755,0.041811847,0.041811847,0.041811847,0.028490028,0.028490028,0.028490028,0.117924528,0.117924528,0.117924528,0.022099448,0.022099448,0.022099448,0.011494253,0.011494253,0.011494253
