Step,commformer_3s5z_single_lf_seed1 - incre_win_rate,commformer_3s5z_single_lf_seed1 - incre_win_rate__MIN,commformer_3s5z_single_lf_seed1 - incre_win_rate__MAX,commformer_3s5z_single_lf_seed2 - incre_win_rate,commformer_3s5z_single_lf_seed2 - incre_win_rate__MIN,commformer_3s5z_single_lf_seed2 - incre_win_rate__MAX,commformer_3s5z_single_lf_seed3 - incre_win_rate,commformer_3s5z_single_lf_seed3 - incre_win_rate__MIN,commformer_3s5z_single_lf_seed3 - incre_win_rate__MAX,happo_3s5z_10v10_seed1 - incre_win_rate,happo_3s5z_10v10_seed1 - incre_win_rate__MIN,happo_3s5z_10v10_seed1 - incre_win_rate__MAX,happo_3s5z_10v10_seed2 - incre_win_rate,happo_3s5z_10v10_seed2 - incre_win_rate__MIN,happo_3s5z_10v10_seed2 - incre_win_rate__MAX,happo_3s5z_10v10_seed3 - incre_win_rate,happo_3s5z_10v10_seed3 - incre_win_rate__MIN,happo_3s5z_10v10_seed3 - incre_win_rate__MAX,mappo_3s5z_10v10_seed1 - incre_win_rate,mappo_3s5z_10v10_seed1 - incre_win_rate__MIN,mappo_3s5z_10v10_seed1 - incre_win_rate__MAX,mappo_3s5z_10v10_seed2 - incre_win_rate,mappo_3s5z_10v10_seed2 - incre_win_rate__MIN,mappo_3s5z_10v10_seed2 - incre_win_rate__MAX,mappo_3s5z_10v10_seed3 - incre_win_rate,mappo_3s5z_10v10_seed3 - incre_win_rate__MIN,mappo_3s5z_10v10_seed3 - incre_win_rate__MAX
3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005494505,0.005494505,0.005494505
163200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005347594,0.005347594,0.005347594
179200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017045455,0.017045455,0.017045455
