Step,commformer_5m_vs_6m_single_lf_seed1 - incre_win_rate,commformer_5m_vs_6m_single_lf_seed1 - incre_win_rate__MIN,commformer_5m_vs_6m_single_lf_seed1 - incre_win_rate__MAX,commformer_5m_vs_6m_single_lf_seed2 - incre_win_rate,commformer_5m_vs_6m_single_lf_seed2 - incre_win_rate__MIN,commformer_5m_vs_6m_single_lf_seed2 - incre_win_rate__MAX,commformer_5m_vs_6m_single_lf_seed3 - incre_win_rate,commformer_5m_vs_6m_single_lf_seed3 - incre_win_rate__MIN,commformer_5m_vs_6m_single_lf_seed3 - incre_win_rate__MAX,happo_5m_vs_6m_10v10_seed1 - incre_win_rate,happo_5m_vs_6m_10v10_seed1 - incre_win_rate__MIN,happo_5m_vs_6m_10v10_seed1 - incre_win_rate__MAX,happo_5m_vs_6m_10v10_seed2 - incre_win_rate,happo_5m_vs_6m_10v10_seed2 - incre_win_rate__MIN,happo_5m_vs_6m_10v10_seed2 - incre_win_rate__MAX,happo_5m_vs_6m_10v10_seed3 - incre_win_rate,happo_5m_vs_6m_10v10_seed3 - incre_win_rate__MIN,happo_5m_vs_6m_10v10_seed3 - incre_win_rate__MAX,happo_check_5m_vs_6m_10v10_seed1 - incre_win_rate,happo_check_5m_vs_6m_10v10_seed1 - incre_win_rate__MIN,happo_check_5m_vs_6m_10v10_seed1 - incre_win_rate__MAX,mappo_5m_vs_6m_10v10_seed1 - incre_win_rate,mappo_5m_vs_6m_10v10_seed1 - incre_win_rate__MIN,mappo_5m_vs_6m_10v10_seed1 - incre_win_rate__MAX,mappo_5m_vs_6m_10v10_seed2 - incre_win_rate,mappo_5m_vs_6m_10v10_seed2 - incre_win_rate__MIN,mappo_5m_vs_6m_10v10_seed2 - incre_win_rate__MAX,mappo_5m_vs_6m_10v10_seed3 - incre_win_rate,mappo_5m_vs_6m_10v10_seed3 - incre_win_rate__MIN,mappo_5m_vs_6m_10v10_seed3 - incre_win_rate__MAX
3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0
6400,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0
35200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0
38400,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0
67200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0
70400,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
83200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0
99200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0
102400,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
115200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0
131200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001194743,0.001194743,0.001194743,,,,0,0,0,0,0,0,0,0,0
134400,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
147200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001234568,0.001234568,0.001234568,,,,0,0,0,0,0,0,0,0,0
163200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0
166400,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
179200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002659574,0.002659574,0.002659574,,,,0,0,0,0,0,0,0,0,0
