Step,commformer_MMM2_FC - incre_win_rate,commformer_MMM2_FC - incre_win_rate__MIN,commformer_MMM2_FC - incre_win_rate__MAX,commformer_MMM2_single_lf_seed3 - incre_win_rate,commformer_MMM2_single_lf_seed3 - incre_win_rate__MIN,commformer_MMM2_single_lf_seed3 - incre_win_rate__MAX,commformer_MMM2_single_lf_seed2 - incre_win_rate,commformer_MMM2_single_lf_seed2 - incre_win_rate__MIN,commformer_MMM2_single_lf_seed2 - incre_win_rate__MAX,commformer_MMM2_single_lf_seed1 - incre_win_rate,commformer_MMM2_single_lf_seed1 - incre_win_rate__MIN,commformer_MMM2_single_lf_seed1 - incre_win_rate__MAX,mappo_MMM2_10v10_seed1 - incre_win_rate,mappo_MMM2_10v10_seed2 - incre_win_rate,mappo_MMM2_10v10_seed3 - incre_win_rate,happo_MMM2_10v10_seed1 - incre_win_rate,happo_MMM2_10v10_seed3 - incre_win_rate
3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036900369003690036,0,0
675200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00749063670411985,0,0
707200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003861003861003861,0,0
723200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0
739200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011538461538461539,0,0
755200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01195219123505976,0,0
771200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023622047244094488,0,0
787200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012605042016806723,0,0
803200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819672131147541,0,0
819200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03375527426160337,0,0
835200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038135593220338986,0,0
851200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04782608695652174,0,0
867200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06060606060606061,0,0
883200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811965811965812,0,0
899200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08898305084745763,0,0
915200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05603448275862069,0,0
931200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06511627906976744,0,0
947200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09859154929577464,0,0
963200,0.006711409395973154,0.006711409395973154,0.006711409395973154,0,0,0,0,0,0,0,0,0,0,0,0.14027149321266968,0,0
979200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1588785046728972,0,0
995200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1388888888888889,0,0
1011200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12053571428571429,0,0
1027200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14691943127962084,0,0
1043200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2062780269058296,0,0
1059200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
1075200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1761904761904762,0,0
1091200,0.006289308176100629,0.006289308176100629,0.006289308176100629,0,0,0,0,0,0,0,0,0,0,0,0.22972972972972974,0,0
1107200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24528301886792453,0,0
1123200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2831050228310502,0,0
1139200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27230046948356806,0,0
1155200,0,0,0,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0,0,0.2523809523809524,0,0
1171200,0,0,0,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0,0,0.3023255813953488,0,0
1187200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2796208530805687,0,0
1203200,0,0,0,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.007407407407407408,0,0,0.28640776699029125,0,0
1219200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2727272727272727,0,0
1235200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24401913875598086,0,0
1251200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2822966507177033,0,0
1267200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2714285714285714,0,0
